timestamp_ns,timestamp_sec,relative_to_start_sec,px,py,pz,qx,qy,qz,qw,frame_id,child_frame_id,valid
1010000000,1.010000000,-34.753,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1020000000,1.020000000,-34.743,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1030000000,1.030000000,-34.733,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1040000000,1.040000000,-34.723,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1050000000,1.050000000,-34.713,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1060000000,1.060000000,-34.703,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1070000000,1.070000000,-34.693,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1080000000,1.080000000,-34.683,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1090000000,1.090000000,-34.673,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1100000000,1.100000000,-34.663,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1110000000,1.110000000,-34.653,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1120000000,1.120000000,-34.643,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1130000000,1.130000000,-34.633,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1140000000,1.140000000,-34.623,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1150000000,1.150000000,-34.613,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1160000000,1.160000000,-34.603,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1170000000,1.170000000,-34.593,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1180000000,1.180000000,-34.583,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1190000000,1.190000000,-34.573,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1200000000,1.200000000,-34.563,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1210000000,1.210000000,-34.553,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1220000000,1.220000000,-34.543,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1230000000,1.230000000,-34.533,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1240000000,1.240000000,-34.523,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1250000000,1.250000000,-34.513,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1260000000,1.260000000,-34.503,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1270000000,1.270000000,-34.493,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1280000000,1.280000000,-34.483,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1290000000,1.290000000,-34.473,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1300000000,1.300000000,-34.463,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1310000000,1.310000000,-34.453,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1320000000,1.320000000,-34.443,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1330000000,1.330000000,-34.433,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1340000000,1.340000000,-34.423,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1350000000,1.350000000,-34.413,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
1360000000,1.360000000,-34.403,0.0,0.0,1.5,0.0,0.0,0.0,1.0,world,,True
